info@alabiansolutions.com,"App Name System Error",http://localhost/webapp/inbox/box/01628533276.html
info@alabiansolutions.com,"App Name System Error",http://localhost/webapp/inbox/box/01628533292.html
info@alabiansolutions.com,"App Name System Error",http://localhost/webapp/inbox/box/01628651005.html
email3@company.com,"Status Change",http://localhost/xalabi/inbox/box/01631399659.html
email3@company.com,"Status Change",http://localhost/xalabi/inbox/box/01631399749.html
email3@company.com,"Status Change",http://localhost/xalabi/inbox/box/01631400162.html
email3@company.com,"Status Change",http://localhost/xalabi/inbox/box/01631400226.html
email3@company.com,"Status Change",http://localhost/xalabi/inbox/box/01631400288.html
email3@company.com,"Account Activation",http://localhost/xalabi/inbox/box/01631429300.html
email3@company.com,"Account Deactivation",http://localhost/xalabi/inbox/box/01631429624.html
email3@company.com,"Password Reset Request",http://localhost/xalabi/inbox/box/01631437728.html
email3@company.com,"Password Reset Request",http://localhost/xalabi/inbox/box/01631437832.html
email3@company.com,"Password Reset Request",http://localhost/xalabi/inbox/box/01631440450.html
email3@company.com,"Password Changed SUCCESSFUL",http://localhost/xalabi/inbox/box/01631440583.html
email@domain.com,"Loan Application Status",http://localhost/mcc/backend/inbox/box/01642866401.html
individual3@domain.com,"Loan Application Status",http://localhost/mcc/backend/inbox/box/01642866855.html
individual3@domain.com,"Loan Application Status",http://localhost/mcc/backend/inbox/box/01642866901.html
individual1@domain.com,"Loan Application Status",http://localhost/mcc/backend/inbox/box/01642867918.html
individual1@domain.com,"Loan Application Status",http://localhost/mcc/backend/inbox/box/01642868028.html
msme1@domain.com,"Loan Application Status",http://localhost/mcc/backend/inbox/box/01642868291.html
msme1@domain.com,"Loan Application Status",http://localhost/mcc/backend/inbox/box/01642868580.html
individual3@domain.com,"Loan Application Status",http://localhost/mcc/backend/inbox/box/01642868691.html
zeefola@gmail.com,"Account Creation",http://localhost/mcc/backend/inbox/box/01643205862.html
admin@gmail.com,"Account Creation",http://localhost/mcc/backend/inbox/box/01643205894.html
alabi10@yahoo.com,"Account Creation",http://localhost/mcc/backend/inbox/box/01643260266.html
alabi20@yahoo.com,"Loan Application Status",http://localhost/mcc/backend/inbox/box/01643486447.html
tundeabass@yahoo.com,"Loan Application Status",http://localhost/mcc/backend/inbox/box/01643531770.html
tundeabass@yahoo.com,"Loan Application Status",http://localhost/mcc/backend/inbox/box/01643533525.html
nonwaz1@yahoo.com,"Loan Application Status",http://localhost/mcc/backend/inbox/box/01643556287.html
nonwaz1@yahoo.com,"Password Reset Request",http://localhost/mcc/backend/inbox/box/01643907772.html
msme1@domain.com,"Password Reset Request",http://localhost/mcc/backend/inbox/box/01643911402.html
msme1@domain.com,"Password Reset Request",http://localhost/mcc/backend/inbox/box/01643911427.html
nonwaz1@yahoo.com,"Password Reset Request",http://localhost/mcc/backend/inbox/box/01643911617.html
msme2@domain.com,"Password Reset Request",http://localhost/mcc/backend/inbox/box/01643911649.html
email2@domain.com,"Account Creation",http://localhost/mcc/backend/inbox/box/01643914598.html
alabi11@yahoo.com,"Loan Application Status",http://localhost/mcc/backend/inbox/box/01644442728.html
alabi12@yahoo.com,"Loan Application Status",http://localhost/mcc/backend/inbox/box/01644585508.html
alabi12@yahoo.com,"Loan Application Status",http://localhost/mcc/backend/inbox/box/01644646535.html
alabi12@yahoo.com,"Loan Application Status",http://localhost/mcc/backend/inbox/box/01644646716.html
alabi12@yahoo.com,"Loan Application Status",http://localhost/mcc/backend/inbox/box/01644646859.html
alabi17@yahoo.com,"Loan Application Status",http://localhost/mcc/backend/inbox/box/01647449991.html
alabi10@yahoo.com,"Account Creation",http://localhost/mcc/backend/inbox/box/01647505798.html
alabi11@yahoo.com,"Account Creation",http://localhost/mcc/backend/inbox/box/01647505981.html
alabi12@yahoo.com,"Account Creation",http://localhost/mcc/backend/inbox/box/01647506406.html
buhariatiku@nigeria.com,"Loan Application Status",http://localhost/mcc/backend/inbox/box/01647506881.html
ebele@nigeria.com,"Loan Application Status",http://localhost/mcc/backend/inbox/box/01647511002.html
amobe@nigeria.com,"Loan Application Status",http://localhost/mcc/backend/inbox/box/01647526165.html
buhariatiku@nigeria.com,"Loan Application Status",http://localhost/mcc/backend/inbox/box/01647536631.html
ebele@nigeria.com,"Loan Application Status",http://localhost/mcc/backend/inbox/box/01647536710.html
amobe@nigeria.com,"Loan Application Status",http://localhost/mcc/backend/inbox/box/01647536766.html
amobe@nigeria.com,"Loan Application Status",http://localhost/mcc/backend/inbox/box/01647537490.html
amobe@nigeria.com,"Loan Application Status",http://localhost/mcc/backend/inbox/box/01647537788.html
amobe@nigeria.com,"Loan Application Status",http://localhost/mcc/backend/inbox/box/01647538222.html
amobe@nigeria.com,"Loan Application Status",http://localhost/mcc/backend/inbox/box/01647583240.html
biz@nnpc.com,"Loan Application Status",http://localhost/mcc/backend/inbox/box/01647585209.html
bolaenterpreise@gmail.com,"Loan Application Status",http://localhost/mcc/backend/inbox/box/01647590200.html
nonwaz@yahoo.com,"Loan Application Status",http://localhost/mcc/backend/inbox/box/01647601043.html
nonwaz@yahoo.com,"Loan Application Status",http://localhost/mcc/backend/inbox/box/01647601177.html
bolaenterpreise@gmail.com,"Loan Application Status",http://localhost/mcc/backend/inbox/box/01647601287.html
bolaenterpreise@gmail.com,"Loan Application Status",http://localhost/mcc/backend/inbox/box/01647601477.html
bolaenterpreise@gmail.com,"Loan Application Status",http://localhost/mcc/backend/inbox/box/01647601565.html
nonwaz@yahoo.com,"Loan Application Status",http://localhost/mcc/backend/inbox/box/01647602576.html
